catday.png,coucou.mp4,sport.png,trajet1.mp4,echauffement.mp4,sport1.mp4,sport2.mp4,sport3.mp4,home.png,trajet2.mp4,housework.png,menage1.mp4,menage2.mp4,tablette.mp4,break.png,pause1.mp4,pause2.mp4,pause3.mp4,sleep.png,sieste.mp4,end.png,taille théorique,taille réelle,ratio,taille gif,ratio,
X,,X,X,,,,X,X,X,X,,,X,X,,X,,X,X,X,8902871,6673456,"74,9584712617",,,
X,X,X,X,,,,X,X,X,X,,,X,X,,X,,X,X,X,9055234,6807610,"75,1787308865",4510180,"49,807437334",
X,,X,X,,,,X,X,X,X,,,X,X,X,,,X,X,X,8842047,6649399,"75,2020318372",,,
X,X,X,X,,,,X,X,X,X,,,X,X,X,,,X,X,X,8994410,6793802,"75,5336036494",,,
X,,X,X,,,,X,X,X,X,,,X,X,,,X,X,X,X,9486695,7197914,"75,8737790137",,,
X,X,X,X,,,,X,X,X,X,,,X,X,,,X,X,X,X,9639058,7337312,"76,1206333648",,,
X,,X,X,,,X,,X,X,X,,,X,X,,X,,X,X,X,7291429,5596179,"76,750099329",,,
X,X,X,X,,,X,,X,X,X,,,X,X,X,,,X,X,X,7382968,5678818,"76,9178195002",,,
X,X,X,X,,,X,,X,X,X,,,X,X,,X,,X,X,X,7443792,5728254,"76,9534398597",,,
X,,X,X,,,X,,X,X,X,,,X,X,X,,,X,X,X,7230605,5582227,"77,2027651905",,,
X,X,X,X,,,X,,X,X,X,,,X,X,,,X,X,X,X,8027616,6233995,"77,6568659986",,,
X,,X,X,,X,,,X,X,X,,,X,X,,X,,X,X,X,7334716,5698120,"77,686988835",,,
X,,X,X,,,X,,X,X,X,,,X,X,,,X,X,X,X,7875253,6134417,"77,8948562033",,,
X,X,X,X,,X,,,X,X,X,,,X,X,X,,,X,X,X,7426255,5796568,"78,055062747",,,
X,,X,X,,X,,,X,X,X,,,X,X,X,,,X,X,X,7273892,5682726,"78,1249707859",,,
X,X,X,X,,X,,,X,X,X,,,X,X,,X,,X,X,X,7487079,5850058,"78,1353849746",,,
X,X,X,X,,X,,,X,X,X,,,X,X,,,X,X,X,X,8070903,6351852,"78,7006360998",,,
X,,X,X,,X,,,X,X,X,,,X,X,,,X,X,X,X,7918540,6232926,"78,7130708439",3608887,"45,5751565314",
X,,X,X,X,,,X,X,X,X,,,X,X,,X,,X,X,X,9062189,7205124,"79,5075450313",,,
X,X,X,X,X,,,X,X,X,X,,,X,X,,X,,X,X,X,9214552,7339692,"79,6532701753",,,
X,,X,X,X,,,X,X,X,X,,,X,X,X,,,X,X,X,9001365,7181067,"79,7775337407",5960302,"66,2155350883",
X,X,X,X,X,,,X,X,X,X,,,X,X,X,,,X,X,X,9153728,7325884,"80,0316985604",,,
X,,X,X,X,,,X,X,X,X,,,X,X,,,X,X,X,X,9646013,7729598,"80,1325687618",,,
X,X,X,X,X,,,X,X,X,X,,,X,X,,,X,X,X,X,9798376,7869394,"80,313247828",,,
X,,X,X,,,,X,X,X,X,X,,,X,,X,,X,X,X,6764851,5481296,"81,0261157267",,,
X,,X,X,,,,X,X,X,X,X,,,X,X,,,X,X,X,6704027,5462696,"81,4838007066",,,
X,X,X,X,,,,X,X,X,X,X,,,X,,X,,X,X,X,6917214,5654713,"81,7484177879",,,
X,,X,X,,,,X,X,X,X,X,,,X,,,X,X,X,X,7348675,6013720,"81,8340721286",,,
X,,X,X,X,,X,,X,X,X,,,X,X,,X,,X,X,X,7450747,6126875,"82,2316876415",5551452,"74,5086633595",
X,X,X,X,X,,X,,X,X,X,,,X,X,,X,,X,X,X,7603110,6258428,"82,3140530651",,,
X,X,X,X,X,,X,,X,X,X,,,X,X,X,,,X,X,X,7542286,6208992,"82,3224152465",,,
X,X,X,X,,,,X,X,X,X,X,,,X,X,,,X,X,X,6856390,5649272,"82,3942628701",,,
X,X,X,X,X,,X,,X,X,X,,,X,X,,,X,X,X,X,8186934,6764185,"82,62171162",,,
