ID,v1,v2,v3,v4,v5,SIZE,REAL SIZE,LENGHT
0,TRUE,TRUE,FALSE,TRUE,TRUE,60102075,60096526,143
1,TRUE,FALSE,TRUE,TRUE,TRUE,59869171,59863598,143
2,TRUE,TRUE,FALSE,FALSE,TRUE,48725974,48722129,108
3,TRUE,FALSE,TRUE,FALSE,TRUE,48493070,48489201,108
